Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
3.477,-0.005,-0.02,-0.015,-0.029,-0.015,-0.024,-0.024
3.496,-0.015,-0.02,-0.02,-0.02,-0.024,-0.024,-0.015
3.516,-0.015,-0.02,-0.01,-0.024,-0.02,-0.015,-0.024
3.535,-0.015,-0.01,-0.02,-0.01,-0.024,-0.02,-0.024
3.555,-0.01,-0.02,-0.02,-0.024,-0.02,-0.024,-0.034
3.574,-0.01,-0.02,-0.024,-0.01,-0.029,-0.029,-0.02
3.594,-0.01,-0.024,-0.01,-0.024,-0.015,-0.024,-0.029
3.613,-0.015,-0.01,-0.024,-0.02,-0.02,-0.029,-0.02
3.633,-0.015,-0.02,-0.01,-0.024,-0.024,-0.015,-0.029
3.652,-0.01,-0.01,-0.024,-0.02,-0.02,-0.024,-0.02
3.672,-0.005,-0.02,-0.015,-0.02,-0.024,-0.024,-0.034
3.691,-0.01,-0.02,-0.02,-0.015,-0.02,-0.034,-0.02
3.711,-0.005,-0.024,-0.01,-0.02,-0.029,-0.015,-0.029
3.73,-0.02,-0.005,-0.024,-0.024,-0.02,-0.024,-0.02
3.75,-0.01,-0.015,-0.015,-0.02,-0.024,-0.015,-0.024
3.77,-0.015,-0.01,-0.02,-0.034,-0.024,-0.029,-0.024
3.789,0,-0.02,-0.015,-0.02,-0.029,-0.02,-0.024
3.809,-0.015,-0.015,-0.02,-0.02,-0.024,-0.029,-0.02
3.828,-0.01,-0.02,-0.02,-0.024,-0.024,-0.015,-0.029
3.848,-0.02,-0.01,-0.02,-0.029,-0.015,-0.024,-0.02
3.867,-0.005,-0.02,-0.02,-0.02,-0.02,-0.02,-0.024
3.887,-0.015,-0.015,-0.015,-0.02,-0.024,-0.024,-0.024
3.906,-0.005,-0.015,-0.02,-0.015,-0.029,-0.024,-0.024
3.926,-0.015,-0.015,-0.02,-0.02,-0.024,-0.024,-0.034
3.945,-0.01,-0.015,-0.02,-0.024,-0.024,-0.02,-0.024
3.965,-0.01,-0.024,-0.015,-0.029,-0.015,-0.024,-0.024
3.984,0,-0.015,-0.015,-0.02,-0.024,-0.02,-0.024
4.004,-0.015,-0.015,-0.02,-0.024,-0.02,-0.005,-0.029
4.023,-0.005,-0.015,-0.024,-0.015,-0.029,-0.024,-0.024
4.043,-0.015,-0.02,-0.02,-0.024,-0.01,-0.024,-0.029
4.062,-0.015,-0.015,-0.02,-0.02,-0.024,-0.024,-0.024
4.082,-0.015,-0.015,-0.01,-0.034,-0.02,-0.024,-0.02
4.102,-0.005,-0.01,-0.024,-0.01,-0.024,-0.02,-0.024
4.121,-0.01,-0.01,-0.02,-0.024,-0.02,-0.02,-0.034
4.141,-0.01,-0.015,-0.024,-0.015,-0.024,-0.029,-0.024
4.16,0,-0.024,-0.01,-0.029,-0.015,-0.029,-0.029
4.18,-0.015,-0.015,-0.02,-0.02,-0.024,-0.02,-0.015
4.199,-0.01,-0.015,-0.01,-0.024,-0.02,-0.015,-0.029
4.219,-0.015,-0.005,-0.02,-0.015,-0.024,-0.024,-0.02
4.238,-0.005,-0.02,-0.015,-0.024,-0.02,-0.02,-0.029
4.258,-0.01,-0.015,-0.024,-0.015,-0.024,-0.029,-0.015
4.277,-0.01,-0.024,-0.01,-0.02,-0.024,-0.02,-0.029
4.297,-0.02,-0.005,-0.02,-0.02,-0.024,-0.024,-0.02
4.316,-0.015,-0.015,-0.015,-0.02,-0.02,-0.015,-0.034
4.336,-0.015,-0.005,-0.024,-0.024,-0.02,-0.029,-0.024
4.355,0,-0.02,-0.015,-0.02,-0.024,-0.024,-0.029
4.375,-0.01,-0.015,-0.024,-0.02,-0.02,-0.029,-0.01
4.395,-0.01,-0.02,-0.015,-0.01,-0.024,-0.015,-0.024
4.414,-0.02,-0.01,-0.02,-0.024,-0.015,-0.029,-0.024
4.434,-0.01,-0.015,-0.02,-0.015,-0.02,-0.02,-0.024
4.453,-0.015,-0.015,-0.01,-0.024,-0.02,-0.029,-0.024
4.473,0,-0.02,-0.02,-0.015,-0.034,-0.024,-0.024
4.492,-0.015,-0.02,-0.015,-0.02,-0.024,-0.024,-0.024
4.512,-0.015,-0.015,-0.02,-0.02,-0.02,-0.02,-0.024
4.531,-0.02,-0.015,-0.015,-0.024,-0.015,-0.029,-0.024
4.551,0,-0.01,-0.024,-0.02,-0.024,-0.024,-0.01
4.57,-0.01,-0.01,-0.02,-0.02,-0.024,-0.02,-0.029
4.59,0,-0.005,-0.02,-0.015,-0.034,-0.024,-0.024
4.609,-0.02,-0.02,-0.02,-0.024,-0.015,-0.024,-0.024
4.629,-0.01,-0.02,-0.02,-0.02,-0.024,-0.029,-0.024
4.648,-0.015,-0.015,-0.01,-0.029,-0.015,-0.024,-0.024
4.668,-0.005,-0.015,-0.02,-0.01,-0.029,-0.024,-0.024
